Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AO
1980,-2.066,-0.934,-1.433,-0.419,-1.155,0.721,-0.622,-0.185,0.313,-0.521,-1.361,-0.057,-0.64325
1981,-0.116,-0.332,-1.645,0.43,0.18,-0.438,0.561,-0.244,-1.04,-1.167,-0.188,-1.216,-0.4345833333333333
1982,-0.883,0.974,1.074,1.454,-0.209,-1.18,0.005,0.362,0.558,-0.211,0.661,0.967,0.29766666666666663
1983,1.359,-1.806,-0.567,-0.738,-0.441,0.313,0.131,1.098,0.167,1.369,-0.688,0.186,0.03191666666666667
1984,0.905,-0.303,-2.386,-0.284,0.479,0.007,0.019,0.466,-0.413,-0.27,-0.966,0.446,-0.19166666666666668
1985,-2.806,-1.44,0.551,0.652,-0.432,-0.347,-0.39,-0.001,0.114,1.035,-1.218,-1.948,-0.5191666666666667
1986,-0.568,-2.904,1.931,0.103,0.367,0.535,-0.008,-0.826,-0.023,1.425,0.926,0.06,0.08483333333333336
1987,-1.148,-1.473,-1.746,0.387,0.325,-0.71,-0.466,-0.836,0.287,-0.08,-0.536,-0.534,-0.5441666666666667
1988,0.265,-1.066,-0.197,-0.561,-0.846,0.061,-0.143,0.255,1.039,0.032,-0.035,1.679,0.04024999999999999
1989,3.106,3.279,1.53,-0.25,0.889,0.345,0.866,0.551,0.703,0.991,0.034,-0.644,0.9500000000000001
1990,1.001,3.402,2.99,1.879,0.943,0.304,-0.296,-0.18,-0.21,0.66,0.521,1.277,1.02425
1991,0.723,-0.876,-0.527,0.53,0.486,-0.115,-0.188,0.797,-0.112,-0.252,0.285,1.613,0.19699999999999998
1992,0.55,1.122,0.984,-0.521,1.341,-0.302,0.191,0.535,-0.64,-0.366,0.717,1.627,0.43649999999999994
1993,3.495,0.184,0.764,-0.435,-1.607,-0.52,-0.511,-0.393,-0.361,-0.565,1.002,-0.104,0.07908333333333338
1994,-0.288,-0.862,1.881,0.225,-0.115,1.606,0.351,0.828,-0.084,0.174,1.779,0.894,0.5324166666666666
1995,-0.154,1.429,0.393,-0.963,-0.891,-0.112,-0.217,0.544,-0.549,0.075,-0.723,-2.127,-0.2745833333333333
1996,-1.2,0.163,-1.483,-1.525,-0.226,0.497,0.715,0.125,-1.14,0.183,0.136,-1.721,-0.4563333333333333
1997,-0.457,1.889,1.091,0.324,-0.961,-0.815,-0.431,0.121,0.195,-0.7,-0.661,-0.071,-0.03966666666666669
1998,-2.081,-0.183,-0.254,-0.038,0.429,-0.711,-0.212,0.65,-1.05,0.294,-1.449,1.353,-0.2710000000000001
1999,0.11,0.482,-1.492,0.284,0.226,0.707,-0.002,-0.672,0.059,-0.006,0.611,1.043,0.11249999999999998
2000,1.27,1.076,-0.451,-0.279,0.969,0.586,-0.649,0.144,0.395,0.317,-1.581,-2.354,-0.04641666666666666
2001,-0.959,-0.622,-1.687,0.906,0.452,-0.015,-0.031,0.521,-0.707,0.707,0.819,-1.322,-0.16149999999999998
2002,1.381,1.304,0.902,0.748,0.401,0.573,0.328,-0.229,-0.043,-1.489,-1.425,-1.592,0.07158333333333329
2003,-0.472,0.128,0.933,-0.178,1.017,-0.102,0.075,-0.28,0.467,-0.67,0.642,0.265,0.15208333333333332
2004,-1.686,-1.528,0.318,-0.409,-0.094,-0.236,-0.201,-0.72,0.855,-0.515,0.678,1.23,-0.19233333333333336
2005,0.356,-1.271,-1.348,-0.046,-0.763,-0.383,-0.03,0.026,0.802,0.03,0.228,-2.104,-0.37525000000000003
2006,-0.17,-0.156,-1.604,0.138,0.156,1.071,0.103,-0.265,0.606,-1.029,0.521,2.282,0.13774999999999996
2007,2.034,-1.307,1.182,0.544,0.894,-0.555,-0.397,-0.034,0.179,0.383,-0.519,0.821,0.26875
2008,0.819,0.938,0.586,-0.455,-1.205,-0.09,-0.48,-0.08,-0.327,1.676,0.092,0.648,0.17683333333333331
2009,0.8,-0.672,0.121,0.973,1.194,-1.351,-1.356,-0.054,0.875,-1.54,0.459,-3.413,-0.3303333333333333
2010,-2.587,-4.266,-0.432,-0.275,-0.919,-0.013,0.435,-0.117,-0.865,-0.467,-0.376,-2.631,-1.04275
2011,-1.683,1.575,1.424,2.275,-0.035,-0.858,-0.472,-1.063,0.665,0.8,1.459,2.221,0.5256666666666666
2012,-0.22,-0.036,1.037,-0.035,0.168,-0.672,0.168,0.014,0.772,-1.514,-0.111,-1.749,-0.1815
2013,-0.61,-1.007,-3.185,0.322,0.494,0.549,-0.011,0.154,-0.461,0.263,2.029,1.475,0.0010000000000000009
2014,-0.969,0.044,1.206,0.972,0.464,-0.507,-0.489,-0.372,0.102,-1.134,-0.53,0.413,-0.06666666666666667
2015,1.092,1.043,1.837,1.216,0.763,0.427,-1.108,-0.689,-0.165,-0.25,1.945,1.444,0.6295833333333333
2016,-1.449,-0.024,0.28,-1.051,-0.036,0.313,0.085,0.472,0.781,-1.917,-0.611,1.786,-0.11425
2017,0.942,0.34,1.365,-0.089,-0.73,0.402,0.634,0.15,-0.492,0.69,-0.078,-0.059,0.25625000000000003
2018,-0.281,0.113,-0.941,0.544,1.18,0.38,0.612,0.836,0.585,0.413,-1.116,0.11,0.20291666666666663
